NumFeatures	MonoMass	MinElutionTime	MaxElutionTime	TopPIC.Unique.ID	TopPIC.Mass	TopPIC.Retention.Time	TopPIC.Proteoform.Details	TopPIC.E.Value	TDPortal.Unique.ID	TDPortal.Mass	TDPortal.Retention.Time	TDPortal.Proteoform.Details	TDPortal.E.Value	H3_C1	H3_C2	H3_C3	H3_C4	H3_C5	H4_A1	H4_A2	H4_A3	H4_A4
1	2155.9219	16.301	17.15											36060.18	31411.41		60180.94	61924.68			75756.37	
1	2156.9228	16.301	17.15											24511.61	20767.11		41977.56	42753.15			54808.56	31745.71
1	2157.66872	47.707	48.749																	281129.6		
1	2158.53738	52.804	54																	420229.6		
2	2158.9387	21.05	21.923											293020.7	163236	173478.75	81853.29	96939.92	16006.97	279434	56099.58	117154.5
6	2162.01212	64.916	66.664											35355.05	428796.3			186185.1		1497661	387720.345	314430.45
3	2162.99819	47.12	48.899																1159782	5132057		1224782
2	2163.1018	21.053	22.534												42490.25	67795.16		26917.15	7213.47			
1	2165.92436	11.194	12.502																			13165.44
1	2167.51945	63.347	65.364											290564.6								
2	2167.66422	48.787	50.704													9483938	6471340	1606698				
2	2174.08415	22.471	23.614											66387.12		11112.95	9987.73		8748.315			
7	2174.9348	13.902	15.166											156888.7	126831.3	112179	83751.835	193524.6	32445.57	106138.19	243517.2	217612.3
4	2176.01333	73.317	76.129																4570.8		19562.76	19236.725
7	2177.01127	65.319	67.39												271844.3	48791.615	252269.9	131123.61	13533.52	45964.78	10604.37	24305.82
3	2177.15201	86.798	87.776															248563.8				
1	2177.3949	118.97	119.509											5005.6								
29	2178.66642	45.501	48.593											14797780	3356064.5	22402070	17938510	3844322	1210908	10936984.5	3699838	2019089
4	2181.01188	44.051	48.792												23762995	21358990					9834338	
3	2181.0286	19.061	20.498												9605.15					12530.91		
1	2181.36549	8.005	11.742											6755.99								
1	2181.67471	39.185	40.981												1948873							
1	2183.01383	63.727	64.845																			41789.36
2	2187.0134	74.981	76.554																	10892.62	2156.11	
2	2187.91283	10.888	12.374																		9624.16	3551.94
16	2188.01774	46.003	50.79											40858630	37444450	51985440	32613987.5	20264770	4766648.5	90835775	11166270	51193015
1	2192.28165	99.965	100.881															83019.38				
2	2194.3882	114.236	115.363											7295.705								
1	2194.67057	22.589	37.13												3286867							
5	2196.146	22.549	23.95											40707.73							21249.86	13590.39
4	2198.0143	66.55	68.79																7806.82	63940.48		27692.05
2	2198.0592	58.769	60.763														15088.84			658004.8		
5	2198.89649	13.969	15.167											20735.55	10292.695		18478.93		2707.36			10779.37
1	2199.00494	38.415	40.249												604967.8							
18	2199.31925	47.149	51.079											43846590	3360046	74829500	67500710	20590015		28928025	4662932	53982120
1	2201.17995	13.546	14.784															16461.63				8174.65
1	2202.01407	56.47	57.393											116648.9								
4	2203.04615	23.31	24.271											164100.6	34770.32	53137.72	40932.52	35495.7	15219.35	31229.61	34816.41	24859.395
3	2203.34586	48.542	51.628													66173520			3060487	62549230		
1	2207.01163	56.832	58.098													1082272						
1	2208.0098	34.56	35.711																		21049.61	
2	2210.078	88.57	89.534														32315.16	7160.56				
7	2210.30688	11.955	13.456											405375.9	295799.6	45818.55	44827.79	43455.26	22298.845	368285.45	34559.175	337123.9
11	2210.67904	48.689	51.37											98262030	118230100	130082600		345401.8	400246.3	168805500	1894264.5	3811949
1	2212.67301	56.593	58.804												502400.7							
16	2216.9603	16.695	18.992											24738.75	136306.2	115557.405	39082.97	123071.3	16788.105	45163.195	25065.19	98062.225
1	2218.13624	19.379	20.658													13490.97			9074.43			22496.72
1	2220.26772	12.017	15.268											255459								
3	2220.61524	21.383	22.344												7313.34		135634.3		8827.5			
2	2221.35171	56.723	58.087											70965.99			293456.1					
1	2222.0099	68.672	70.112																	8769.73		
4	2222.35037	45.813	49.078											27722350				18806010	2115354	52161.34		20874410
2	2222.4187	118.867	119.396											6386.65								
2	2224.0297	88.614	89.6												20665.1						37283.93	
2	2226.6747	67.966	69.483																4824.45			
1	2226.6828	74.453	76.345																			2804.49
1	2229.03471	62.859	64.345																	155508		
1	2232.1919	18.352	19.48											22399.82								
12	2232.95675	12.592	13.977											58476.28	90963.52	65408.265	50255.875	52626.05	9369.55	102794.38	73224.63	56208.165
19	2233.35043	46.993	50.946											7943591	22454800	14958030	987151.3	13167250.5	4498977	811621.6	6734361	21253470
1	2237.64443	29.253	31.551												22685.58							
1	2237.9235	21.484	22.807													8656.06						
13	2238.3644	47.995	51.999											20038150	34060450	20041301.5	26830070	21377620		35577350	17696510	36140050
2	2238.41261	114.463	115.234											7145.71								
4	2238.9139	11.934	13.506												15181.43	21275.43				57363.78	5950.49	21525.19
1	2239.989	21.018	21.804												11727.59	12445.33				22091.51		
2	2241.3569	58.283	59.843											97691.9			180238.3					
5	2243.34762	49.605	53.032											5842983	43488.13	1662191		933812		13215380		
2	2244.1379	24.324	25.379														18847.5	85793.11				
3	2244.19679	8.426	9.879											11810.615		9426.42		9394.5		8482.305	25385.35	30169.13
1	2247.02482	54.546	55.877																34523.71			
4	2248.19337	18.551	20.298												103847.555	30548.39	102399.81			152001.8		68738.985
1	2248.65235	27.858	29.715												23889.77							
6	2248.67214	47.587	52.166												42246860	29752205		20702545				41677810
1	2251.0288	26.268	27.523												6994.34	10495.93				7295.39		
1	2254.4426	114.426	115.042											2350.12								
4	2257.34122	49.009	52.715											17075410					1718448			
1	2258.02041	33.318	35.99																			131524.6
14	2259.9363	13.992	15.166											28961.47	33409.48	40466.06	34707.515	69467.43	11149.85	38722.26	126708.1	66136.2
3	2262.995	12.16	13.789											183259.6	206196.25	245494.6	203238.95	145136.9	23152.65	217595.3	87428.85	155659.5
2	2263.6387	20.34	21.872															22053.335				
2	2264.1106	26.951	28.443																	16294.14		
1	2265.44117	118.861	119.367											9910.76								
1	2266.01937	34.618	36.138																	52014.09		
1	2269.0817	67.565	68.752															36130.6				
4	2271.67887	47.377	50.255													4885956	14245510	12879935				
1	2274.0176	34.56	35.99												42713.43							
1	2276.3196	9.707	11.342																		4892.14	
1	2276.72079	52.622	53.629														113845.6					
7	2278.01041	45.958	49.211											2143650.5		2216361	9131123	12963200	1816238		8083701	6824865
1	2281.01507	57.945	60.07												46666.04							
1	2281.43859	114.365	115.042											5076.11								
2	2285.0156	30.707	33.079													93148.32		129470.55				
1	2285.30167	100.775	101.446														7205.75					
1	2287.18082	88.579	89.6																		33945.37	
13	2288.67629	47.458	50.441											6211206	8392850.5	6672889		12213090	1139543.5	4331939	4668158.5	10098805
25	2290.92739	16.819	18.232											91038.34	318086.6	222653.8	72429.1	473696.05	21921.975	333856.9	77229.775	152405.5
1	2291.9295	15.502	17.63												35889.35							
1	2293.006	49.47	51.099												1582079							
5	2294.9856	10.809	12.15												38595.875	106849.2				4861.95	55286.42	124627.6
1	2298.33683	48.343	50.029														3704321					
1	2299.9772	21.22	22.877																	12905.61		
3	2299.9777	12.376	14.055											1021316.51	928876.74	850753.1	54930.53	86597.53	152279.35	694431.46	2199100.85	1462223.06
1	2300.98281	22.682	23.874													47083.56						
1	2302.163	88.774	89.519															52177.68				
2	2302.2265	61.433	63.665													15845.02				221646.1		
1	2303.1699	30.569	31.562																	4389.81		
5	2303.99178	14.298	17.283											9651052	5305949	5092830	6519711.5	4321105	380148.55	4578401.5	2458728	2476998
2	2307.9424	16.567	18.285														18420.015	16874.05			25641.62	14517
2	2308.36939	57.512	59.247											138310.4	80735.56							
1	2309.46797	118.828	119.326											8220.47								
4	2310.9566	23.12	23.95											188558.25	258047.6	236816.7	193496.9	112106.5	8546.79	240475.8	21181.78	82130.62
1	2314.059	29.281	36.851														17338.44					
2	2314.9631	12.883	14.758												26145.33			26041.81			48076.97	
5	2318.96725	13.034	15.259											119694.05	196576.9	138288.2	46759.66	173080.7	21217.27	187798.9	118509.115	118060.08
3	2318.9872	19.924	23.213													2018075	2068362	188913.9		1600096		
2	2323.26188	92.038	92.766														10071.245					
1	2324.72263	53.811	56.238														188632.3					
1	2325.4654	114.158	114.968											8683.42								
1	2326.4937	118.853	119.367											5111.51								
12	2326.9531	13.707	15.032											124382.57	22504.28	131890.35	44950.3	27309.77	16287.46	267664.5	68480.175	77303.205
8	2328.34298	47.304	49.889														3041447.5	6695294	635159.4		7213781	
6	2329.0544	26.699	28.322											86533.91	92857.835	152155.65	99558.88	64537.22	12485.52	121049.5	14265.53	272414.8
1	2329.2619	104.515	105.325												4391.4							
2	2331.7389	55.036	56.486												251351.6		173947.5	134403.4		566749.8		
1	2334.17774	29.204	30.444														18983.15					
8	2334.9809	14.084	15.85											7095655.5	7329177	6809276	37363.07	138913.7	298254.6	9565275	233459.45	46877.55
1	2335.98562	13.662	15.494												2563763	1976232				3130290	960640.6	
1	2338.241	92.025	92.687																			20620.06
2	2338.9241	13.223	14.744																		19453.64	
5	2339.00773	47.707	49.361											806232.4			8242244	1846496	88650.23	199291.2		
2	2346.6178	69.744	71.31														5309.1				26910.55	
4	2347.736	56.727	58.891												154232.9	201266.9	129169.7					729852.6
19	2348.9132	19.327	20.581											31962.82	32705.155	64734.505	70390.21	63734.35	6356.525	62185.585	28298.65	45936.33
1	2350.71555	54.628	56.116																		72560.75	
2	2352.18313	21.328	22.062																2173.87			19537.21
1	2353.4939	118.73	119.181											4877.08								
1	2354.0418	30.664	31.898																6326.56			
1	2356.2117	91.979	92.754														10597.98	11402.28				
1	2356.34805	41.519	43.917												51958.32							
1	2357.34413	99.822	100.41														23621.52					
3	2357.7275	58.882	61.552												981159.6	84426.52						37653.18
5	2357.9458	12.906	14.687											268922.3	308042.3	276038.2	316469.3	89331.14	11332.96	252447.1	68993.4	148395.82
3	2360.00906	14.201	15.503												44716.73	147788.7			13030.785	191201.4		126843.8
1	2363.40153	56.993	59.822												312920.1							
5	2363.9057	13.125	14.315											23132.03		94593.46	62393.07	75303.57	17060.385	98648.99	71462.99	45303.2
1	2364.90823	14.727	15.903																11028.15			
2	2366.9705	12.662	15.242												73592.69					47617.9		
2	2367.19483	26.484	27.331																19934.47	29100.705		24316.9
2	2367.30958	9.104	10.476											27604.05	8901.91	7194.425	5608.725	10920.45	3853.02	9482.9	21351.665	27121.815
1	2369.1255	35.999	38.348													25736.12				32624.35		
1	2369.20255	88.871	89.601															7677.88				
1	2369.48994	114.118	114.828											8175.59								
1	2370.5188	118.73	119.221											4145.26								
2	2371.1047	73.208	74.839												52070.97	34768.73						
2	2371.41689	60.48	62.165														60439.23			83421.83		
2	2372.33951	48.838	50.415																		2083916	
2	2372.9302	13.434	15.4											66993.09	91901.765	109080.535	85600.4	45145.31	3243.56	106309.64	13332.55	79482.76
1	2374.1999	88.717	89.746																			14965.93
2	2376.11378	33.7	35.103																		25028.88	12386.54
2	2378.00484	47.375	48.898														714404	3695292				
1	2378.1902	37.13	38.14												37360.54							
1	2380.74039	59.808	61.135														115449.2					
2	2380.96906	13.3	15.498																		17933.575	
4	2381.1951	20.028	21.07											102287.485				61916.62		17226.46		
1	2381.27946	86.545	87.251													37831.12						
2	2381.2909	9.335	10.758																		4777.325	4043.775
2	2383.8961	14.684	15.758																4980.87			22146.17
1	2385.11776	35.567	38.151												78778.7							
1	2386.16129	64.178	65.327											467317.8	287463							
1	2387.9504	13.255	14.645													13456.58				10857.87		
1	2388.6698	46.949	48.406														520940.9					
1	2389.2666	9.116	10.483																			1095.39
1	2389.44996	28.857	31.284																		8299.25	
1	2390.9009	13.448	15.806													25869.78				17263.34		
1	2392.97939	14.775	17.15													56777.61						
2	2393.1195	33.123	34.958													28723.12	113042.1					
1	2397.51905	118.647	119.221											9071.57								
1	2397.89559	13.268	14.514																		37297.06	
2	2398.26139	87.558	88.407												96648.68					66504.345		
1	2401.11422	35.99	38.151													47513.83						
1	2402.6547	64.141	65.183											83886.99								
2	2403.1348	25.947	28.113																		40121.155	
1	2403.3217	96.795	97.803														3048.06					
3	2405.14747	37.533	38.807											32322.155	62035.27	65524.37	29631.97			78868.485		
1	2407.43229	101.442	102.236															10408.31				
1	2407.80372	71.914	74.08											10097680								
1	2408.8122	76.869	78.367											14505.48								
1	2408.9176	20.476	21.932																		17831.85	
1	2410.01241	15.074	17.652															12651.81			32096.83	
2	2410.62032	34.112	35.43													138514.05						
1	2412.2091	22.663	24.282											13764.97								
4	2413.13876	34.799	36.204											56774.325		123298.5	93690.255	24371.77		137491.45		50107.8
1	2416.23175	86.472	87.452															30537.69		33008.47		
1	2417.03133	17.866	19.228													15194.83						
1	2420.13558	36.288	38.456													175101.1						
1	2421.14047	37.419	39.481												182347.8							
1	2421.25471	23.624	25.003																	8199.2		
1	2422.2647	57.641	59.043												124927							
1	2423.2666	57.641	59.151												112548							
1	2428.3693	93.192	94.104																	6559.66		
4	2428.63497	34.955	36.654												95595.405		105017.6		8764.05	330785.3		
1	2428.9992	47.961	50.314																		822448.4	
8	2431.9124	13.724	15.393											90489.44								
2	2435.9779	28.118	29.029																		280216.55	
1	2438.0206	13.141	14.333													11523.4						
1	2441.54298	118.656	119.172											8975.45								
1	2441.7421	58.072	59.191																			66120.08
1	2443.1895	20.985	22.263														4297.59					
1	2444.1951	20.907	22.031															11561.9				
1	2447.18555	12.461	13.737														15894.67	36486.91				
1	2447.35221	87.735	88.696															8608.42				
1	2448.3766	92.724	93.609																	5186.95		
1	2449.3046	64.216	65.243											510073								
2	2451.97195	15.424	17.374														11202.57	717873.4	85443.95		634408.4	179408.85
1	2453.45792	95.763	96.874												18989.78							
4	2453.9753	14.761	16.463											30476.97		175954.6		558174.4	66280.54		151481.51	
1	2455.6723	37.178	38.492																			20075.47
1	2457.54298	114.007	114.75											8936.69								
1	2457.9717	28.922	30.063																		13121.41	
1	2458.1968	12.025	13.293															11379.72				
1	2461.1245	36.481	37.738													23153.25						
2	2461.78164	85.947	86.839																	52543.175		
1	2462.15333	21.688	22.385																5695.08			
6	2462.20823	13.592	14.838											154717.7	25199.59	171499.8	216327.45	46136.19	33020.76	135549.45	11635.8	333491.2
1	2463.34977	92.025	93.491															15082.79				
1	2464.33278	10.112	11.342															6501.65				
2	2466.21949	17.289	18.523														84699.15			50621.08	162788.6	27501.2
2	2467.2539	27.337	28.388															22133.405				
1	2469.1428	13.546	15.472																	11560.54	31993.05	18945.46
1	2470.2819	64.335	65.781																	20325.1		
2	2471.42496	99.75	100.374														5259.97	2952.92				
1	2473.2699	63.935	65.012															103400.8				
1	2475.2522	24.033	25.443																		10643.92	
1	2476.35123	99.457	100.331															3701.32				
5	2478.2014	12.212	13.571											78679.055	41178.75	107148	19564.615	460261.7	23175.72	59300.925	28933.52	53519.62
2	2478.38126	87.51	88.676													79251.84	57237.08					
1	2479.79711	14.03	15.382												12714.32							
4	2482.2658	21.247	23.558																	22955.295	88091.54	
1	2482.32023	91.973	92.901													45894.8						
2	2483.2771	51.304	53.361															110482			1136620	
3	2484.2603	13.618	14.89											149603.7	26847.13	85823.03	370106.9	114070.4	10545.25	42160	512791.1	147607.9
1	2485.26404	14.917	15.912											48857.17		24512.34	279465.5	74693.31	10012.26		390609.8	83565.59
1	2485.57241	118.534	119.156											8552.86								
1	2493.10377	12.017	13.38											19138.93								
3	2493.18533	32.896	34.449													66467.37	19538.76					
1	2493.29113	58.362	59.503															62212.04				
1	2493.35781	92.471	94.188																		11212.33	
1	2493.35929	87.622	89.605															117019.2				
1	2495.3075	95.336	96.156														7511.72					
7	2501.6843	32.226	33.63												14270.86	5994.8	66011.29	38662.3	9092.19	27509.04		43622.12
20	2506.5747	12.354	14.07											17751.8	59539.01	61728.85	44311.805	27185.435	16274.4		4527.06	5105.91
3	2508.2668	30.85	32.18													76888.87		65042.02				
1	2510.9528	60.57	62.35												180369.1							
1	2511.33146	86.394	87.543											28655.68			57397.92					
1	2514.48593	64.445	66.205																		118501.1	
1	2515.32839	86.495	87.708																		38274.93	
1	2516.16655	33.028	34.752																			31907.87
1	2519.1733	21.683	22.791											16296.73								
3	2519.25323	33.313	34.526											25860.07			62643.16				6043.91	
1	2520.36127	11.742	13.959											14148.08								
1	2521.35367	87.019	88.299																	15760.36		
1	2525.095	12.453	13.816											9496.31								
1	2526.1602	13.763	14.856																			20147.29
1	2527.23075	13.049	14.514														6911.88				18128.23	
1	2527.49208	59.104	60.826												33787.64							
1	2528.2645	19.219	20.39											8217.57								
1	2529.5967	118.534	119.016												2950.92							
1	2530.2666	12.12	13.546																		4818.24	
1	2531.2996	67.675	68.704																		39529.89	
1	2532.386	60.338	61.798																		62316.22	
1	2532.6145	7.209	7.901											879.18								
1	2535.35044	11.063	12.804											8376.41								
1	2535.51212	77.828	78.637												31034.22							
1	2535.6803	39.452	41.499													40600.03				34093.11		
1	2542.25	35.567	36.722																		8429.73	
1	2542.4226	10.848	12.163												5104.32							
1	2544.2622	34.236	35.711											13651.5								
1	2545.59376	114.03	114.564											11784.62								
1	2547.17018	22.713	23.585														24902.53	27163.68	17340.53			22327.65
1	2548.1731	22.244	23.448															16675.67				
2	2552.0979	22.649	23.692												28815.51	27209.59	32643.83	18282.47				
2	2552.2495	12.099	13.401															11035.915				
1	2553.17342	40.621	41.776											258445.8								
9	2558.3343	12.547	13.935											35724.14			33193.9	10617.36		16939.57	18601.96	
1	2558.3459	19.942	21.198												11499.31				1325.68			
1	2562.2375	13.141	14.146															12608.46				
1	2565.10963	28.159	28.942																			27941.98
1	2566.1155	28.13	29.68																	7247.54		
3	2570.444	12.481	13.49											35548.04	34483.775	13840.07	26060.655	21136.23	3373.41		37727.88	
1	2571.8767	70.759	73.009											133805								
1	2573.62306	118.453	119.047											7652.91								
5	2573.6749	12.267	13.567											39738.63	17187.58		11484.51				33185.64	944.75
1	2574.4816	92.479	96.912														371221.2			344258.3		
2	2575.3428	20.234	21.52											33376.225	10908.02		10831.16			6343.28	16745.26	
1	2576.3458	19.811	21.089											34843.35								
1	2588.3807	11.526	12.316	Tppp_1	2588.392214	11.84133333	D3ZQL7  (2-27) [Acetyl]	4.37e-07	D3ZQL7_2588.392155	2588.392155	11.74240665	D3ZQL7  (2-27)  	1.62e-16	72176.71	59554.42		83937.93	13537.34	4731.13		157623.6	14944.59
1	2589.46256	77.918	81.951														22360500					
1	2589.4766	7.282	7.704											2301.71	722.13						746.64	1348.47
1	2589.61804	113.598	114.581											10191.74								
2	2590.46207	91.589	95.066															1072534		44029.41		
1	2590.6504	118.453	118.955											3644.17								
1	2592.2595	34.846	36.143																4407.44			
4	2592.3383	12.928	14.306											248132.95	7550.92		47301.89	5632.65	8238.15		29576.355	10223.13
1	2593.3506	12.715	13.959											22665.21								
1	2594.3555	12.715	13.959											17275.01								
1	2596.322	12.636	14.146																		21814.26	
3	2596.7664	17.825	19.244											17798.385			8565.12					
1	2598.10523	28.733	29.88																	19621.93		
1	2599.4002	10.463	11.435														12017.21					
1	2604.1921	22.473	23.259													23351.29			20512.3		30121.64	
3	2606.2962	24.644	26.012											62990.96	11662.6	17608.41	53017.26					
1	2608.3135	67.432	68.755												38257.04	13800.62	26543.86				46790.55	16441.77
2	2609.42863	90.844	96.039												575137.8			702375.2				
1	2609.43253	85.963	88.579													271921.5						
1	2609.43253	101.483	103.441											8123.45	85537.04							
2	2612.3566	14.472	15.835											124622.5	35385.24	63712.4	144405.585	70274.11	17625.74	45784.67	111469.845	58292.37
1	2613.35743	13.763	14.642											60588.91	16386.66	44666.74		20373.88	8176.88	21471.21		27287.51
1	2617.45035	87.05	88.419																			113932.2
1	2617.4707	21.409	22.733												12135.35							
3	2619.3003	35.779	37.415															130435.2		59725.14		128338.825
1	2619.4127	13.141	15.638											16530.27							15943.98	
1	2623.2785	35.398	36.564														87431.57	119843.7				46271.25
2	2624.30116	34.806	36.959															79361.8				123473.5
1	2628.3044	86.101	87.341																		27946.62	
1	2629.54459	99.827	101.149															24142.89				
2	2630.38249	21.278	22.547											49910.59	19269.65	9760.84	11942.16	12683.79		10031.28	16612.07	
1	2632.3918	72.917	74.166																63283.75			
2	2632.5845	9.85	11.133											9895.9	5805.79			6664.8		10073.01	17510.165	12683.155
2	2633.4203	87.477	88.584													4833.99					47099.17	
1	2633.42081	94.443	96.069													23760						
2	2633.64771	112.296	112.868											10201.41				1639.74				
1	2635.42399	87.164	88.329											144129.2								
1	2636.4611	89.601	90.747																	47188.26		
1	2637.3425	14.104	15.704											28822.56								
1	2639.2749	33.245	34.938															96462.4				
4	2640.0938	12.376	13.674												6413.64	6207.07	7891.32	7822.06		7386.12	24716.21	6616.67
2	2641.4824	13.105	14.121											70038.72	41821.44	13997.6	56005.16	25900.45	3556.26	31933.32	135612	
1	2641.488	23.21	24.925						Q5U318_2640.496235	2640.496235	23.84355815	Q5U318  (101-122)  	5.92e-27								21145.77	
2	2642.4832	13.177	14.487											50022.77			36858.68	20044.01	2662.92		54171.46	
1	2646.3638	20.763	22.031															9340.6				
1	2646.45328	85.619	86.678												23870.01							
2	2648.3214	12.68	13.868																	21831.435		
1	2649.41139	23.093	24.703											12851.52								
1	2651.4516	85.692	86.915																	10033.97		
2	2655.4024	74.702	76.878												89547.765							
1	2657.186	11.033	12.265																			7646.72
2	2659.45387	25.916	26.837											29359.43		7502.35	9048.77		3553.25			14409.62
1	2659.57109	60.389	61.687											148258								
1	2661.2131	22.244	22.973														30429	29742.29	21319.87			
3	2661.70863	9.077	10.626											6807.285	6276.6			9423.8		8277.37	14940.74	29379.73
1	2662.4948	30.993	32.398	Pea15_0	2662.505787	31.70316667	Q5U318  (108-130) 	1.63e-09	Q5U318_2662.505725	2662.505725	31.63907248	Q5U318  (108-130)  	7.92e-22				43204					
1	2663.32862	24.968	25.853														72492.57	84010.92		19995.88	41287.18	
1	2663.49454	100.064	101.153																		32960.88	
1	2664.41862	87.164	88.151														15390.12					
5	2669.3402	12.612	13.757											38112.08	8257.06	9542.23	39232.05	17862.43	5612.08	8720.81	77590.89	15462.94
1	2674.4812	10.7	11.673												10216.14							
2	2677.6587	9.016	10.854																			3885.35
1	2677.67213	113.598	114.541											11965.06								
1	2680.4754	9.123	10.463																		8044.47	7402.04
4	2684.3084	10.617	12.878											74935.24			16861.75	28329.98			6814.55	9598.89
1	2685.41965	23.267	24.563															36735.78				12392.46
